S.No.,Br,Course Name/Group Name,Credits,Instructor,Time,Venue,Time,Venue,Time,Venue
166,CE,COMPUTATIONAL METHODS IN ENGINEERING(ESO208A),3-1-0-0(11),Gourabananda Pahar(I),M (L07) Th (L07) F (L07)  11:00-12:00,L07,W (T206) W (T203) W (T207) W (T204) W (T208) W (T210) W (T205) W (T211) W (T209)  11:00-12:00,"T209 ,T211 ,T205 ,T210 ,T208 ,T204 ,T207 ,T203 ,T206",,
167,CE,APPLIED PROBABILITY AND STATISTICS(HSO201A),3-1-0-0(11),"JOYDEEP  DUTTA (I), Aditya Vikram(O)",MThF 11:00-12:00,,W 11:00-12:00,,,
168,CE,ENGINEERING GRAPHICS(TA111) /A,2-0-3-0(9),SUDHIR MISRA(I),M (L18) W (L18)  15:00-16:00,L18,,,MTWThF 10:00-13:00,
169,CE,ENGINEERING GRAPHICS(TA111) /B,2-0-3-0(9),PRISHATI  RAYCHOWDHURY   (I),M (L19) W (L19)  15:00-16:00,L19,,,MTWThF 10:00-13:00,
170,CGS,INTRODUCTION TO COGNITIVE SCIENCE(CGS401A),3-0-0-0(9),ARK VERMA(I),M (L07) Th (L07)  14:00-15:15,L07,,,,
171,CGS,COMPUTATIONAL TOOLS FOR COGNITIVE SCIENCE(CGS600A),3-0-2-0(11),Pragathi Balasubramani(I),M (WL235) Th (WL235)  12:00-13:15,WL235,,,,
172,CGS,FOUNDATIONS OF COGNITIVE SCIENCE(CGS601),3-0-0-0(9),Narayanan Srinivasan(I),MTh 10:30-12:00,,,,,
173,CGS,FOUNDATIONS OF COGNITIVE SCIENCE(CGS601A),3-0-0-0(9),Narayanan Srinivasan(I),MTh 10:30-12:00,,,,,
174,CGS,BASIC STATISTICS DATA ANALYSIS & INFERENCE(CGS602),3-0-2-0(11),Sharika KM(I),WF 17:00-18:30,,,,,
175,CGS,BASIC STATISTICS DATA ANALYSIS & INFERENCE(CGS602A),3-0-2-0(11),Sharika KM(I),W (T106) F (T106)  17:00-18:30,T106,,,,
176,CGS,EXPERIMENT DESIGN AND ANALYSIS(CGS610),3-0-0-0(5),DEVPRIYA KUMAR(I),TTh 15:30-17:00,,,,,
177,CGS,EXPERIMENT DESIGN AND ANALYSIS(CGS610A),3-0-0-0(5),DEVPRIYA KUMAR(I),T (T109) Th (T109)  15:30-17:00,T109,,,,
178,CGS,BASICS OF PSYCHOPHYSICS(CGS611),3-0-0-0(5),DEVPRIYA KUMAR(I),TTh 15:30-17:00,,,,,
179,CGS,BASICS OF PSYCHOPHYSICS(CGS611A),3-0-0-0(5),DEVPRIYA KUMAR(I),T (T107) Th (T107)  15:30-17:00,T107,,,,
180,CGS,SEMINAR ON COGNITIVE SCIENCE(CGS700),0-0-0-0(0),DEVPRIYA KUMAR(I),WF 10:30-12:00,,,,,
181,CGS,SEMINAR ON COGNITIVE SCIENCE(CGS700A),0-0-0-0(9),DEVPRIYA KUMAR(I),W (WL237) F (WL237)  10:30-12:00,WL237,,,,
182,CGS,PROJECT(CGS702A),0-0-0-0(9),ARK VERMA(I),"T (T109)  14:00-15:15 ,M (T109)  15:30-17:00",T109,,,,
183,CGS,PHD THESIS(CGS799),0-0-0-0(0),DPGCCGS (I),,,,,,
184,CGS,MS - RESEARCH THESIS(CGS899),0-0-0-0(0),DPGCCGS (I),,,,,,
185,CHE,INTRODUCTION TO CHEMICAL ENGINEERING(CHE201),1-0-0-0(3),SIDDHARTHA  PANDA (I),T (L06)  10:00-11:00,L06,,,,
186,CHE,CHEMICAL PROCESS CALCULATIONS(CHE251),3-0-3-0(12),"SRI  SIVAKUMAR (I), DUGCCHE (O)",M (L01) W (L01) F (L01)  12:00-13:00,L01,,,MW 14:00-17:00,
187,CHE,CHEMICAL ENGINEERING COMMUNICATION SKILLS(CHE300A),0-0-2-0(2),RAGHVENDRA  SINGH (I),,,,,T 10:00-12:00,
188,CHE,HEAT TRANSFER & ITS APPLICATIONS(CHE312A),3-0-0-0(9),ANURAG TRIPATHI(I),"M (L03) F (L03)  08:00-09:00 ,T (L03)  09:00-10:00",L03,,,,
189,CHE,MASS TRANSFER & ITS APPLICATIONS(CHE313A),3-0-0-0(9),RAJ GANESH S  PALA (I),"W (L03)  16:00-17:00 ,T (L03) Th (L03)  17:00-18:00",L03,,,,
190,CHE,UG PROJECT (UGP-I)(CHE349A),0-0-0-4(4),DUGCCHE (I),,,,,,
191,CHE,CHEMICAL PROCESS SIMULATION LAB(CHE352A),1-0-2-0(5),PANKAJ  A  APTE (I),W (L03)  14:00-15:00,L03,,,ThF 14:00-16:00,
192,CHE,UNIT OPERATION LABORATORY -I(CHE391A),1-0-3-2(8),DUGCCHE (I),,,,,,
193,CHE,CHEMICAL ENGINEERING DESIGN(CHE453A),3-0-2-0(11),Dipin Pillai(I),T (L03) W (L03) Th (L03)  08:00-09:00,L03,,,MT 14:00-16:00,
194,CHE,UNIT OPERATIONS AND PROCESS CONTROL LABORATORY(CHE492A),1-0-3-2(8),"Rahul  Mangal(I), ANIMANGSU  GHATAK (O), RAJU KUMAR GUPTA(O)",W (L03)  15:00-16:00,L03,,,MTTh 14:00-17:00,
195,CHE,UNDER GRADUATE PROJECT-III(CHE497A),0-0-0-0(9),DUGCCHE (I),,,,,,
196,CHE,UNDER GRADUATE PROJECT IV(CHE498A),0-0-9-0(9),DUGCCHE (I),,,,,,
197,CHE,TRANSPORT PHENOMENA(CHE611),3-0-0-0(9),K P Krishnaraj(I),TTh 15:30-17:00,,,,,
198,CHE,TRANSPORT PHENOMENA(CHE611A),3-0-0-0(9),K P Krishnaraj(I),T (T110) Th (T110)  15:30-17:00,T110,,,,
199,CHE,THE STRUCTURE & RHEOLOGY OF COMPLEX FLUIDS(CHE613),3-0-0-0(9),YOGESH MORESHWAR  JOSHI (I),MTh 12:00-13:15,,,,,
200,CHE,THE STRUCTURE & RHEOLOGY OF COMPLEX FLUIDS(CHE613A),3-0-0-0(9),YOGESH MORESHWAR  JOSHI (I),M (T107) Th (T107)  12:00-13:15,T107,,,,
201,CHE,THERMODYNAMICS(CHE621),3-0-0-0(9),INDRANIL SAHA DALAL(I),"T 14:00-15:15 ,M 15:30-17:00",,,,,
202,CHE,THERMODYNAMICS(CHE621A),3-0-0-0(9),INDRANIL SAHA DALAL(I),"T (T106)  14:00-15:15 ,M (T106)  15:30-17:00",T106,,,,
203,CHE,CHEMICAL REACTION ENGINEERING(CHE631),3-0-0-0(9),Vishal  Agarwal (I),MTh 09:00-10:15,,,,,
204,CHE,CHEMICAL REACTION ENGINEERING(CHE631A),3-0-0-0(9),Vishal  Agarwal (I),M (T209) Th (T209)  09:00-10:15,T209,,,,
205,CHE,ANALYSIS AND DESIGN OF MULTIPHASE REACTORS(CHE632),3-0-0-0(9),Raghavendra Ragipani(I),WF 09:00-10:15,,,,,
206,CHE,ANALYSIS AND DESIGN OF MULTIPHASE REACTORS(CHE632A),3-0-0-0(9),Raghavendra Ragipani(I),W (WL237) F (WL237)  09:00-10:15,WL237,,,,
207,CHE,MATHEMATICAL METHODS IN CHEMICAL ENGINEERING(CHE641),3-0-0-0(9),VISWANATHAN  SHANKAR (I),MTh 10:30-12:00,,,,,
208,CHE,MATHEMATICAL METHODS IN CHEMICAL ENGINEERING(CHE641A),3-0-0-0(9),VISWANATHAN  SHANKAR (I),M (L15) Th (L15)  10:30-12:00,L15,,,,
209,CHE,PROCESS ENGG. PRINCIPLES IN MICRO. FABRICATION(CHE659),3-0-0-0(9),SIDDHARTHA  PANDA (I),MTh 12:00-13:15,,,,,
210,CHE,PROCESS ENGG. PRINCIPLES IN MICRO. FABRICATION(CHE659A),3-0-0-0(9),SIDDHARTHA  PANDA (I),M (L14) Th (L14)  12:00-13:15,L14,,,,
211,CHE,CONVECTIVE HEAT AND MASS TRANSFER IN CHEMICAL ENGINEERING APPLICATIONS(CHE663),3-0-0-0(9),NISHITH  KUMAR VERMA(I),WF 10:30-12:00,,,,,
212,CHE,CONVECTIVE HEAT AND MASS TRANSFER IN CHEMICAL ENGINEERING APPLICATIONS(CHE663A),3-0-0-0(9),NISHITH  KUMAR VERMA(I),W (T106) F (T106)  10:30-12:00,T106,,,,
213,CHE,INTRODUCTION TO PHYSICS OF POLYMERIC SYSTEM(CHE677),3-0-0-0(9),Harshwardhan  Katkar(I),MWF 17:00-18:00,,,,,
214,CHE,INTRODUCTION TO PHYSICS OF POLYMERIC SYSTEM(CHE677A),3-0-0-0(9),Harshwardhan  Katkar(I),M (T209) W (T209) F (T209)  17:00-18:00,T209,,,,
215,CHE,M TECH THESIS(CHE699),0-0-0-0(0),"DPGCCHE (I), DUGCCHE (O)",,,,,,
216,CHE,PHD THESIS(CHE799),0-0-0-0(0),DPGCCHE (I),,,,,,
217,CHE,GRADUATE SEMINAR(CHE801A),0-0-0-0(0),Rahul  Mangal(I),"T (T110)  11:00-12:00 ,W (T110) F (T110)  16:00-17:00 ,Th (T110)  17:00-18:00",T110,,,,
218,CHE,GRADUATE SEMINAR(CHE802A),0-0-0-0(0),Rahul  Mangal(I),"T 11:00-12:00 ,WF 16:00-17:00 ,Th 17:00-18:00",,,,,
219,CHE,MS - RESEARCH THESIS(CHE899),0-0-0-0(0),DPGCCHE (I),,,,,,
220,CHE,FLUID MECHANICS AND RATE PROCESSES(ESO204),3-1-0-0(11),NAVEEN TIWARI(I),M (L19) W (L19) F (L19)  11:00-12:00,L19,Th (T105) Th (T106) Th (T101) Th (T103) Th (T104) Th (T102)  11:00-12:00,"T102 ,T104 ,T103 ,T101 ,T106 ,T105",,
221,CHM,CHEMISTRY LABORATORY(CHM111) /C,0-0-3-0(3),"Apparao Draksharapu(I), Dharmaraja Allimuthu(O), THIRUVANCHERIL G GOPAKUMAR(O)",,,,,MTWTh 14:00-17:00,
222,CHM,CHEMISTRY LABORATORY(CHM111) /D,0-0-3-0(3),"Apparao Draksharapu(I), Dharmaraja Allimuthu(O), THIRUVANCHERIL G GOPAKUMAR(O)",,,,,MTWTh 14:00-17:00,
223,CHM,GENERAL CHEMISTRY: PHYSICAL CHEMISTRY(CHM112M) /B,2-1-0-0(4),"Vishal  (I), Arnab  Ghosh(O)",T (L19) Th (L19)  15:00-16:00,L19,F (L12) F (L10) F (L11)  15:00-16:00,"L11 ,L10 ,L12",,
224,CHM,GENERAL CHEMISTRY: PHYSICAL CHEMISTRY(CHM112M) /A,2-1-0-0(4),"Vishal  (I), Arnab  Ghosh(O)",M (L19) W (L19)  14:00-15:00,L19,F (L13) F (L14) F (L15)  15:00-16:00,"L15 ,L14 ,L13",,
225,CHM,GENERAL CHEMISTRY: INORGANIC & ORGANIC CHEMISTRY(CHM113M) /A,2-1-0-0(4),"Prakash Mondal(I), Ramkrishna Sarkar(O)",MW 14:00-15:00,,F 15:00-16:00,,,
226,CHM,GENERAL CHEMISTRY: INORGANIC & ORGANIC CHEMISTRY(CHM113M) /B,2-1-0-0(4),"Prakash Mondal(I), Ramkrishna Sarkar(O)",TTh 15:00-16:00,,F 15:00-16:00,,,
227,CHM,BASIC ORGANIC CHEMISTRY-I(CHM201),3-0-0-0(9),Srinivas Dharavath(I),M (L15) W (L15) F (L15)  12:00-13:00,L15,,,,
228,CHM,BAISC PHYSICAL CHEMISTRY I(CHM221),3-0-0-0(9),Mainak  Sadhukhan(I),M (L11) W (L11) F (L11)  11:00-12:00,L11,,,,
229,CHM,BASIC INORGANIC CHEMISTRY - I(CHM241),3-0-0-0(9),RAJA ANGAMUTHU(I),M (L19) W (L19) Th (L19)  17:00-18:00,L19,,,,
230,CHM,ORGANIC CHEMISTRY I(CHM303A),3-0-0-0(9),Parthasarathi Subramanian(I),"M (L05) F (L05)  08:00-09:00 ,T (L05)  09:00-10:00",L05,,,,
231,CHM,ORGANIC QUALITATIVE & QUANTITATIVE ANALYSIS(CHM305A),0-0-6-0(6),ANAND SINGH(I),,,,,WTh 14:00-17:00,
232,CHM,PHYSICAL CHEMISTRY I(CHM321),3-0-0-0(9),NISANTH N  NAIR (I),MWF 10:00-11:00,,,,,
233,CHM,PHYSICAL CHEMISTRY I(CHM321A),3-0-0-0(9),NISANTH N  NAIR (I),M (L11) W (L11) F (L11)  10:00-11:00,L11,,,,
234,CHM,INORGANIC CHEMISTRY I(CHM345A),3-0-0-0(9),ANANTHARAMAN  GANAPATHI (I),M (T108) W (T108) F (T108)  17:00-18:00,T108,,,,
235,CHM,CHEMISTRY COMMUNICATION SKILLS(CHM361),2-0-0-0(6),"MANAS KUMAR  GHORAI (I), THIRUVANCHERIL G GOPAKUMAR(O)","T 10:00-12:00 ,F 15:00-17:00",,,,,
236,CHM,CHEMISTRY COMMUNICATION SKILLS(CHM361A),0-0-2-0(2),"MANAS KUMAR  GHORAI (I), THIRUVANCHERIL G GOPAKUMAR(O)","F (L03)  15:00-17:00 ,T (L03)  10:00-12:00",L03,,,,
237,CHM,UNDER GRADUATE PROJECT-I(CHM391A),0-0-4-0(4),DUGCCHM (I),,,,,,
238,CHM,ORGANIC CHEMISTRY I(CHM401),3-0-0-0(9),Parthasarathi Subramanian(I),"MF 08:00-09:00 ,T 09:00-10:00",,,,,
239,CHM,ORGANIC CHEMISTRY I(CHM401A),3-0-0-0(9),Parthasarathi Subramanian(I),"MF 08:00-09:00 ,T 09:00-10:00",,,,,
240,CHM,PHYSICAL CHEMISTRY I(CHM421A),3-0-0-0(9),NISANTH N  NAIR (I),MWF 10:00-11:00,,,,,
241,CHM,PHYSICAL CHEMISTRY LAB(CHM423),0-0-6-0(6),MANABENDRA CHANDRA(I),,,,,MTWTh 14:00-17:00,
242,CHM,PHYSICAL CHEMISTRY LABORATORY(CHM423A),0-0-6-0(6),MANABENDRA CHANDRA(I),,,,,MTWTh 14:00-17:00,
243,CHM,UNDER GRADUATE PROJECT-III(CHM491A),0-0-0-0(9),DUGCCHM (I),,,,,,
244,CHM,ORGANIC PREPARATION LAB(CHM503),0-0-6-0(6),V K  SINGH (I),,,,,MT 14:00-17:00,
245,CHM,ORGANIC PREPARATION LAB(CHM503A),0-0-6-0(6),V K  SINGH (I),,,,,MT 14:00-17:00,
246,CHM,MATHEMATICS FOR CHEMISTRY(CHM521),2-0-0-0(6),Devendra Mani(I),MTh 12:00-12:50,,,,,
247,CHM,MATHEMATICS FOR CHEMISTRY(CHM521A),2-0-0-0(6),Devendra Mani(I),MTh 12:00-12:50,,,,,
248,CHM,MATHEMATICS FOR CHEMISTRY(CHM600),3-0-0-0(9),Devendra Mani(I),MTh 12:00-13:15,,,,,
249,CHM,MATHEMATICS FOR CHEMISTRY(CHM600A),3-0-0-0(9),Devendra Mani(I),M (L09) Th (L09)  12:00-13:15,L09,,,,
250,CHM,PRINCIPLES OF ORGANIC CHEMISTRY(CHM609),3-0-0-0(9),RAMESH  RAMAPANICKER (I),WF 10:30-11:50,,,,,
251,CHM,PRINCIPLES OF ORGANIC CHEMISTRY(CHM609A),3-0-0-0(9),RAMESH  RAMAPANICKER (I),WF 10:30-11:50,,,,,
252,CHM,PHYSICAL ORGANIC CHEMISTRY(CHM611),3-0-0-0(9),DATTATRAYA H DETHE(I),MTh 10:30-12:00,,,,,
253,CHM,PHYSICAL ORGANIC CHEMISTRY(CHM611A),3-0-0-0(9),DATTATRAYA H DETHE(I),M (L14) Th (L14)  10:30-12:00,L14,,,,
254,CHM,CHEMISTRY OF ORGANOMETALLIC COMPOUNDS(CHM616),3-0-0-0(9),M L N  RAO (I),TWTh 08:00-09:00,,,,,
255,CHM,CHEMISTRY OF ORGANOMETALLIC COMPOUNDS(CHM616A),3-0-0-0(9),M L N  RAO (I),T (FB426) W (FB426) Th (FB426)  08:00-09:00,FB426,,,,
256,CHM,CHEMICAL BINDING(CHM621),3-0-0-0(9),DEBABRATA  GOSWAMI (I),WF 10:30-12:00,,,,,
257,CHM,CHEMICAL BINDING(CHM621A),3-0-0-0(9),DEBABRATA  GOSWAMI (I),W (L13) F (L13)  10:30-12:00,L13,,,,
258,CHM,PRINCIPLES OF PHYSICAL CHEMISTRY(CHM629),3-0-0-0(9),DASARI L V K PRASAD(I),MTh 09:00-10:15,,,,,
259,CHM,PRINCIPLES OF PHYSICAL CHEMISTRY(CHM629A),3-0-0-0(9),DASARI L V K PRASAD(I),M (FB434) Th (FB434)  09:00-10:15,FB434,,,,
260,CHM,APPLICATIONS OF MODERN INSTRUMENTAL METHODS(CHM631),3-0-0-0(9),"Dharmaraja Allimuthu(I), Apparao Draksharapu(O)",WF 09:00-10:15,,,,,
261,CHM,APPLICATIONS OF MODERN INSTRUMENTAL METHODS(CHM631A),3-0-0-0(9),"Dharmaraja Allimuthu(I), Apparao Draksharapu(O)",W (L05) F (L05)  09:00-10:15,L05,,,,
262,CHM,BIO-INORGANIC CHEMISTRY(CHM646),3-0-0-0(9),SANKAR PRASAD  RATH (I),MF 08:00-09:00,,,,,
263,CHM,BIO-INORGANIC CHEMISTRY(CHM646A),3-0-0-0(9),SANKAR PRASAD  RATH (I),M (L13) F (L13)  08:00-09:00,L13,,,,
264,CHM,THE CHEMISTRY OF METAL-CARBON BOND: STRUCTURE REACTIVITY & APPLICATIONS(CHM648),3-0-0-0(9),BASKER SUNDARARAJU(I),MTh 12:00-13:15,,,,,
265,CHM,THE CHEMISTRY OF METAL-CARBON BOND: STRUCTURE REACTIVITY & APPLICATIONS(CHM648A),3-0-0-0(9),BASKER SUNDARARAJU(I),M (T108) Th (T108)  12:00-13:15,T108,,,,
266,CHM,PRINCIPLES OF INORGANIC CHEMISTRY(CHM649),3-0-0-0(9),Ritika  Gautam(I),WF 10:30-12:00,,,,,
267,CHM,PRINCIPLES OF INORGANIC CHEMISTRY(CHM649A),3-0-0-0(9),Ritika  Gautam(I),W (FB434) F (FB434)  10:30-12:00,FB434,,,,
268,CHM,ORGANIC STRUCTURE DETERMINATION BY SPECTROSCOPIC TECHNIQUES(CHM656),3-0-0-0(9),R  GURUNATH (I),WF 17:00-18:30,,,,,
269,CHM,ORGANIC STRUCTURE DETERMINATION BY SPECTROSCOPIC TECHNIQUES(CHM656A),3-0-0-0(9),R  GURUNATH (I),W (T207) F (T207)  17:00-18:30,T207,,,,
270,CHM,FRONTIERS IN INORGANIC CHEMISTRY(CHM691),3-0-0-0(9),SABUJ KUMAR KUNDU(I),WF 17:00-18:30,,,,,
271,CHM,FRONTIERS IN INORGANIC CHEMISTRY(CHM691A),3-0-0-0(9),SABUJ KUMAR KUNDU(I),W (T111) F (T111)  17:00-18:30,T111,,,,
272,CHM,MOLECULAR MODELLING IN CHEMISTRY(CHM695),3-0-0-0(9),AMALENDU  CHANDRA     (I),WF 17:00-18:30,,,,,
273,CHM,MOLECULAR MODELLING IN CHEMISTRY(CHM695A),3-0-0-0(9),AMALENDU  CHANDRA     (I),W (FB434) F (FB434)  17:00-18:30,FB434,,,,
274,CHM,CHEMISTRY OF DRUG DESIGN AND METABOLISM(CHM698),3-0-0-0(9),SANDEEP  VERMA   (I),MTh 12:00-13:15,,,,,
275,CHM,CHEMISTRY OF DRUG DESIGN AND METABOLISM(CHM698A),3-0-0-0(9),SANDEEP  VERMA   (I),M (FB426) Th (FB426)  12:00-13:15,FB426,,,,
276,CHM,M. Sc. PROJECT(CHM699A),3-0-0-0(18),DUGCCHM (I),,,,,,
277,CHM,RESEARCH(CHM799),0-0-0-0(0),DPGCCHM (I),,,,,,
278,CHM,GENERAL SEMINAR2(CHM800),0-0-0-0(0),DPGCCHM (I),,,,,,
279,CHM,GENERAL SEMINAR(CHM800A),0-0-0-0(0),DPGCCHM (I),,,,,,
280,CHM,GRADUATE SEMINAR(CHM801),0-0-0-0(0),DPGCCHM (I),,,,,,
281,CHM,GRADUATE SEMINAR(CHM801A),0-0-0-0(0),DPGCCHM (I),,,,,,
282,CHM,INORGANIC MOLECULES MATERIALS & MEDICINE(CSO203),3-1-0-0(11),"ASHIS KUMAR PATRA(I), JITENDRA   BERA(O)",MThF 09:00-10:00,,W 09:00-10:00,,,
283,CHM,INORGANIC MOLECULES  MATERIALS & MEDICINE(CSO203A),3-1-0-0(11),"ASHIS KUMAR PATRA(I), JITENDRA   BERA(O)",M (L02) Th (L02) F (L02)  09:00-10:00,L02,W (L14) W (L10) W (L15) W (L11)  09:00-10:00,"L11 ,L15 ,L10 ,L14",,
284,COM,ENGLISH LANGUAGE & COMMUNICATION (BASIC) (SCHEME)(ELC111),2-1-1-0(9),SUDHARSHANA N P(I),M (DJAB(205H)) M (EEM117) M (DJAB(206H)) M (DJAB(203H)) W (DJAB(206H)) W (DJAB(203H)) W (DJAB(205H)) W (EEM117) F (DJAB(205H)) F (EEM117) F (DJAB(206H)) F (DJAB(203H))  17:00-18:00,"DJAB(203H) ,EEM117 ,DJAB(205H) ,DJAB(206H)",Th (DJAB(203H)) Th (DJAB(205H)) Th (EEM117) Th (DJAB(206H))  17:00-18:00,"DJAB(206H) ,EEM117 ,DJAB(205H) ,DJAB(203H)",,
285,COM,ENGLISH LANGUAGE & COMMUNICATION (INTERMEDIATE) (SCHEME)(ELC112),2-1-1-0(9),SUDHARSHANA N P(I),M (DJAB(206H)) M (DJAB(205H)) W (DJAB(205H)) W (DJAB(206H)) F (DJAB(206H)) F (DJAB(205H))  08:00-09:00,"DJAB(205H) ,DJAB(206H)",Th (DJAB(205H)) Th (DJAB(206H))  08:00-09:00,"DJAB(206H) ,DJAB(205H)",,
286,COM,ENGLISH LANGUAGE & COMMUNICATION (ADVANCED) (SCHEME)(ELC113),2-1-1-0(9),SUDHARSHANA N P(I),M (DJAB(203H)) M (EEM117) W (DJAB(203H)) W (EEM117) F (DJAB(203H)) F (EEM117)  08:00-09:00,"EEM117 ,DJAB(203H)",Th (EEM117) Th (DJAB(203H))  08:00-09:00,"DJAB(203H) ,EEM117",,
287,COM,PRACTICAL ETHICS(ETH111),1-0-0-2(3),Pingala Admin Not Offered(I),"W (T204) W (T207) W (T208) W (T210) W (T203) W (T205) W (T209)  08:00-09:30 ,T (T104) T (T106) T (T101) T (T102) T (T105) T (T103) T (T111)  11:00-12:30 ,F (T104) F (T101)  17:00-18:30","T209 ,T205 ,T203 ,T210 ,T208 ,T207 ,T204 ,T111 ,T103 ,T105 ,T102 ,T101 ,T106 ,T104 ,T101 ,T104",,,,
288,CSE,MATHEMATICS FOR COMPUTER SCIENCE -I(CS201),3-0-0-0(9),MANINDRA  AGRAWAL   (I),M (RM101) W (RM101) F (RM101)  12:00-13:00,RM101,,,,
289,CSE,TECHNICAL COMMUNICATION(CS300A),0-0-2-0(2),Preeti Malakar(I),T (RM101)  10:00-12:00,RM101,,,,
290,CSE,OPERATING SYSTEMS(CS330A),3-0-3-0(12),Debadatta Mishra(I),T (RM101) W (RM101) Th (RM101)  08:00-09:00,RM101,,,,
291,CSE,THEORY OF COMPUTATION(CS340A),3-0-0-0(9),SUNIL EASAW  SIMON (I),"M (RM101) F (RM101)  08:00-09:00 ,T (RM101)  09:00-10:00",RM101,,,,
292,CSE,ALGORITHMS -II(CS345A),3-0-0-0(9),SURENDER  BASWANA   (I),M (L16) W (L16) F (L16)  09:00-10:00,L16,,,,
293,CSE,PRINCIPLES OF PROGRAMMING LANGAUGES(CS350A),3-0-0-0(9),AMEY  KARKARE   (I),W (KD102) F (KD102)  15:30-17:00,KD102,,,,
294,CSE,INTRODUCTION TO COMPUTER GRAPHICS(CS360A),3-0-0-0(9),Soumya Dutta(I),M (KD101) Th (KD101)  10:30-12:00,KD101,,,,
295,CSE,UG PROJECT (UGP-I)(CS395A),0-0-0-0(4),DUGCCSE (I),,,,,,
296,CSE,UG PROJECT (UGP-II)(CS396A),0-0-0-0(9),DUGCCSE (I),,,,,,
297,CSE,COMPUTER ARCHITECTURE(CS422A),3-0-0-0(9),MAINAK  CHAUDHURI   (I),M (KD101) Th (KD101)  12:00-13:15,KD101,,,,
298,CSE,INTRODUCTION TO SOFTWARE ENGINEERING(CS455A),3-0-0-0(9),Sruti Ragavan(I),M (KD101) Th (KD101)  14:00-15:15,KD101,,,,
299,CSE,UNDER GRADUATE PROJECT-III(CS498A),0-0-0-0(9),DUGCCSE (I),,,,,,
300,CSE,UNDER GRADUATE PROJECT-IV(CS499A),0-0-0-0(9),DUGCCSE (I),,,,,,
301,CSE,DESIGN AND ANALYSIS OF ALGORITHMS(CS602),3-0-0-0(9),SANJEEV  SAXENA   (I),WF 09:00-10:15,,,,,
302,CSE,DESIGN AND ANALYSIS OF ALGORITHMS(CS602A),3-0-0-0(9),SANJEEV  SAXENA   (I),W (RM101) F (RM101)  09:00-10:15,RM101,,,,
303,CSE,PROGRAMMING FOR PERFORMANCE(CS610),3-0-0-0(9),Swarnendu  Biswas(I),WF 10:30-12:00,,,,,
304,CSE,PROGRAMMING FOR PERFORMANCE(CS610A),3-0-0-0(9),Swarnendu  Biswas(I),W (KD102) F (KD102)  10:30-12:00,KD102,,,,
305,CSE,HUMAN CENTERED COMPUTING(CS616),3-0-0-0(9),Nisheeth  Srivastava   (I),MTh 09:00-10:15,,,,,
306,CSE,HUMAN CENTERED COMPUTING(CS616A),3-0-0-0(9),Nisheeth  Srivastava   (I),M (KD101) Th (KD101)  09:00-10:15,KD101,,,,
307,CSE,COMPUTER SYSTEMS SECURITY(CS628),3-0-0-0(9),Angshuman Karmakar(I),MTh 14:00-15:15,,,,,
308,CSE,COMPUTER SYSTEMS SECURITY(CS628A),3-0-0-0(9),Angshuman Karmakar(I),M (KD103) Th (KD103)  14:00-15:15,KD103,,,,
309,CSE,EMBEDDED AND CYBER-PHYSICAL SYSTEMS(CS637),3-0-0-0(9),INDRANIL  SAHA (I),MTh 12:00-13:15,,,,,
310,CSE,EMBEDDED AND CYBER-PHYSICAL SYSTEMS(CS637A),3-0-0-0(9),INDRANIL  SAHA (I),M (L07) Th (L07)  12:00-13:15,L07,,,,
311,CSE,PROGRAM ANALYSIS  VERIFICATION AND TESTING(CS639),3-0-0-0(9),SUBHAJIT  ROY (I),MTh 10:30-12:00,,,,,
312,CSE,PROGRAM ANALYSIS  VERIFICATION AND TESTING(CS639A),3-0-0-0(9),SUBHAJIT  ROY (I),M (KD102) Th (KD102)  10:30-12:00,KD102,,,,
313,CSE,TOPICS IN LINEAR PROGRAMMING(CS655),3-0-0-0(9),RAJAT  MITTAL (I),"T 14:00-15:15 ,M 15:30-17:00",,,,,
314,CSE,TOPICS IN LINEAR PROGRAMMING(CS655A),3-0-0-0(9),RAJAT  MITTAL (I),"T (KD102)  14:00-15:15 ,M (KD102)  15:30-17:00",KD102,,,,
315,CSE,HARDWARE SECURITY OF INTERNET OF THINGS(CS666),3-0-0-0(9),Urbi Chatterjee(I),"W 12:00-13:00 ,F 14:00-15:00 ,T 17:00-18:00",,,,,
316,CSE,HARDWARE SECURITY OF INTERNET OF THINGS(CS666A),3-0-0-0(9),Urbi Chatterjee(I),"W (KD102)  12:00-13:00 ,F (KD102)  14:00-15:00 ,T (KD102)  17:00-18:00",KD102,,,,
317,CSE,COMPUTATIONAL GENOMICS(CS690),3-0-0-0(9),Hamim  Zafar(I),WF 10:30-12:00,,,,,
318,CSE,COMPUTATIONAL GENOMICS(CS690A),3-0-0-0(9),Hamim  Zafar(I),W (RM101) F (RM101)  10:30-12:00,RM101,,,,
319,CSE,SPECIAL TOPICS IN COMPUTER SCIENCE(CS697),0-0-0-0(9),DPGCCSE (I),,,,,,
320,CSE,SPECIAL TOPICS IN COMPUTER SCIENCE(CS697A),0-0-0-0(9),DPGCCSE (I),,,,,,
321,CSE,M TECH THESIS(CS699),0-0-0-0(0),"DPGCCSE (I), DUGCCSE (O)",,,,,,
322,CSE,SENSING COMMUNICATIONS AND NETWORKING FOR SMART WIRELESS DEVICES(CS724),3-0-0-0(9),Amitangshu Pal(I),MTh 09:00-10:15,,,,,
