S.No.,Br,Course Name/Group Name,Credits,Instructor,Time,Venue,Time,Venue,Time,Venue
37,AE,FUNDAMENTALS OF COMBUSTION(AE663A),3-0-0-0(9),D Chaitanya Rao(I),W (NWTF Class room) F (NWTF Class room)  10:35-11:50,NWTF Class room,,,,
38,AE,APPLIED COMPRESSIBLE FLOWS(AE664),3-0-0-0(9),Ajay  Singh(I),WF 09:00-10:15,,,,,
39,AE,APPLIED COMPRESSIBLE FLOWS(AE664A),3-0-0-0(9),Ajay  Singh(I),W (EEM117) F (EEM117)  09:00-10:15,EEM117,,,,
40,AE,AEROSPACE STRUCTURAL ANALYSIS - I(AE670),3-0-0-0(9),P M  MOHITE   (I),WF 09:00-10:15,,,,,
41,AE,AEROSPACE STRUCTURAL ANALYSIS - I(AE670A),3-0-0-0(9),P M  MOHITE   (I),W (NWTF Class room) F (NWTF Class room)  09:00-10:15,NWTF Class room,,,,
42,AE,DYNAMICS AND VIBRATION(AE688),3-0-0-0(9),Tanmay Mathur(I),WF 12:00-13:15,,,,,
43,AE,DYNAMICS AND VIBRATION(AE688A),3-0-0-0(9),Tanmay Mathur(I),W (NWTF Class room) F (NWTF Class room)  12:00-13:15,NWTF Class room,,,,
44,AE,UNSTEADY COMBUSTOR DYNAMICS(AE695A),3-0-0-0(9),Pingala Admin Not Offered(I),,,,,,
45,AE,M TECH THESIS(AE699),0-0-0-0(0),"DPGCAE (I), DUGCAE (O)",,,,,,
46,AE,CONTINUUM MECHANICS(AE702),3-0-0-0(9),C S  UPADHYAY   (I),MTh 10:30-12:00,,,,,
47,AE,CONTINUUM MECHANICS(AE702A),3-0-0-0(9),C S  UPADHYAY   (I),M (Helicopter building) Th (Helicopter building)  10:30-12:00,Helicopter building,,,,
48,AE,COMPUTATIONAL METHODS(AE703),3-0-0-0(9),"ASHOKE  DE (I), Pradeep Moise(O)",MTh 09:00-10:15,,,,,
49,AE,COMPUTATIONAL METHODS(AE703A),3-0-0-0(9),"ASHOKE  DE (I), Pradeep Moise(O)",M (Helicopter building) Th (Helicopter building)  09:00-10:15,Helicopter building,,,,
50,AE,DEFORMATION AND FRACTURE(AE704),3-0-0-0(9),RAJESH  KITEY   (I),WF 10:30-12:00,,,,,
51,AE,DEFORMATION AND FRACTURE(AE704A),3-0-0-0(9),RAJESH  KITEY   (I),WF 10:30-12:00,,,,,
52,AE,MOLECULAR GAS DYNAMICS(AE747A),3-0-0-0(9),Not Offered (I),,,,,,
53,AE,OPTIMAL SPACE FLIGHT CONTROL(AE777),3-0-0-0(9),ASHISH  TIWARI (I),MTh 12:00-13:15,,,,,
54,AE,OPTIMAL SPACE FLIGHT CONTROL(AE777A),3-0-0-0(9),ASHISH  TIWARI (I),M (L02) Th (L02)  12:00-13:15,L02,,,,
55,AE,PHD THESIS(AE799),0-0-0-0(0),DPGCAE (I),,,,,,
56,AE,MS - RESEARCH THESIS(AE899),0-0-0-0(0),DPGCAE (I),,,,,,
57,AE,MECHANICS OF SOLIDS(ESO202),3-1-0-1(11),"Pritam  Chakraborty   (I), Gopalakrishna M Kamath   (O)",M (L16) Th (L16) F (L16)  10:00-11:00,L16,W (T208) W (T205) W (T206) W (T207) W (T210) W (T203) W (T204) W (T209)  10:00-11:00,"T209 ,T204 ,T203 ,T210 ,T207 ,T206 ,T205 ,T208",,
58,BSBE,ORGAN SYSTEM PHYSIOLOGY AND ANATOMY(BSE211),3-0-0-0(9),Sai Pydi(I),M (DJAB(205H)) W (DJAB(205H)) F (DJAB(205H))  12:00-13:00,DJAB(205H),,,,
59,BSBE,BIOCHEMISTRY(BSE221),3-0-0-0(9),Anusmita Sahoo(I),M (BSBE SR) W (BSBE SR) F (BSBE SR)  17:00-18:00,BSBE SR,,,,
60,BSBE,SCIENTIFIC & PROFESSIONAL COMMUNICATION(BSE301A),0-0-2-0(2),"Nitin  Mohan(I), Dibyendu Kumar Das  (O)",T (BSBE SR)  10:00-12:00,BSBE SR,,,,
61,BSBE,MOLECULAR CELL BIOLOGY(BSE311A),3-0-0-0(9),AMITABHA  BANDYOPADHYAY     (I),"M (BSBE SR) F (BSBE SR)  08:00-09:00 ,T (BSBE SR)  09:00-10:00",BSBE SR,,,,
62,BSBE,MOLECULAR BIOLOGY LAB(BSE312A),1-0-6-0(9),Suresh Kumar(I),Th (BSBE SR)  17:10-18:00,BSBE SR,,,WTh 14:00-17:00,
63,BSBE,BIOMATERIALS(BSE411A),3-0-2-0(11),Santosh Misra(I),T (BSBE SR) W (BSBE SR) Th (BSBE SR)  08:00-09:00,BSBE SR,,,,
64,BSBE,BIOMATERIAL  PHYSIOLOGY & BIO-MEMS LABORATORY(BSE412A),1-0-6-0(9),"Santosh Misra(I), Rakesh Majhi(O)",T (BSBE SR)  17:10-18:00,BSBE SR,,,MT 14:00-17:00,
65,BSBE,METHODS IN BIOTECHNOLOGY-I  EXPERIMENTAL BIOSEPERATION(BSE492A),3-0-0-0(9),ASHOK  KUMAR (I),M (BSBE SR) Th (BSBE SR)  09:00-10:15,BSBE SR,,,,
66,BSBE,PROFESSIONAL COMMUNICATION(BSE601),1-0-0-0(0),SUBRAMANIAM  GANESH   (I),F 08:00-09:00,,,,,
67,BSBE,PROFESSIONAL COMMUNICATION(BSE601A),1-0-0-0(0),SUBRAMANIAM  GANESH   (I),F (L06)  08:00-09:00,L06,,,,
68,BSBE,MODERN INSTRUMENTAL METHODS IN BIOLOGICAL SCIENCES(BSE611),3-0-0-0(3),"Nitin  Mohan(I), Dibyendu Kumar Das  (O)",MTh 12:00-13:15,,,,,
69,BSBE,MODERN INSTRUMENTAL METHODS IN BIOLOGICAL SCIENCES(BSE611A),3-0-0-0(9),"Nitin  Mohan(I), Dibyendu Kumar Das  (O)",M (BSBE SR) Th (BSBE SR)  12:00-13:15,BSBE SR,,,,
70,BSBE,BIOMATERIALS(BSE613),3-0-0-0(11),DHIRENDRA S KATTI(I),TWTh 08:00-09:00,,,,,
