Course Name/Group Name,Credits,Instructor,Time,Time.1,Time.2,Cleaned_Time_3,day1,day2,day3,start_time123,end_time123,day4,day5,start_time456,end_time456
MACHINE LEARNING FOR FLUID MECHANICS(AE646A),2-0-3-0(9),"Rajesh Ranjan(I), Murali Damodaran(O)",MTh 17:10-18:00,,W 14:00-17:00,,M,Th,,17:10 PM,18:00 PM,,,,
FLIGHT DYNAMICS(AE647),3-0-0-0(9),Raghavendra  Kukillaya(I),WF 17:00-18:30,,,,W,F,,17:00 PM,18:30 PM,,,,
FLIGHT DYNAMICS(AE647A),3-0-0-0(9),Raghavendra  Kukillaya(I),W (NWTF Class room) F (NWTF Class room)  17:00-18:30,,,,W,F,,17:00 PM,18:30 PM,,,,
AUTOMATIC CONTROL OF AIRCRAFT ROCKETS AND SPACECRAFT(AE649),3-0-0-0(4),Dipak  Giri(I),MTh 14:00-15:15,,,,M,Th,,14:00 PM,15:15 PM,,,,
AUTOMATIC CONTROL OF AIRCRAFT ROCKETS AND SPACECRAFT(AE649A),3-0-0-0(9),Dipak  Giri(I),M (Helicopter building) Th (Helicopter building)  14:00-15:15,,,,M,Th,,14:00 PM,15:15 PM,,,,
AEROMECHANICS OF UNMANNED AERIAL SYSTEMS(AE656),3-0-0-0(9),ABHISHEK   (I),TTh 15:35-16:50,,,,T,Th,,15:35 PM,16:50 PM,,,,
AEROMECHANICS OF UNMANNED AERIAL SYSTEMS(AE656A),3-0-0-0(9),ABHISHEK   (I),T (Helicopter building) Th (Helicopter building)  15:35-16:50,,,,T,Th,,15:35 PM,16:50 PM,,,,
FUNDAMENTALS OF COMBUSTION(AE663),3-0-0-0(9),D Chaitanya Rao(I),WF 10:35-11:50,,,,W,F,,10:35 AM,11:50 AM,,,,
FUNDAMENTALS OF COMBUSTION(AE663A),3-0-0-0(9),D Chaitanya Rao(I),W (NWTF Class room) F (NWTF Class room)  10:35-11:50,,,,W,F,,10:35 AM,11:50 AM,,,,
APPLIED COMPRESSIBLE FLOWS(AE664),3-0-0-0(9),Ajay  Singh(I),WF 09:00-10:15,,,,W,F,,9:00 AM,10:15 AM,,,,
APPLIED COMPRESSIBLE FLOWS(AE664A),3-0-0-0(9),Ajay  Singh(I),W (EEM117) F (EEM117)  09:00-10:15,,,,W,F,,9:00 AM,10:15 AM,,,,
AEROSPACE STRUCTURAL ANALYSIS - I(AE670),3-0-0-0(9),P M  MOHITE   (I),WF 09:00-10:15,,,,W,F,,9:00 AM,10:15 AM,,,,
AEROSPACE STRUCTURAL ANALYSIS - I(AE670A),3-0-0-0(9),P M  MOHITE   (I),W (NWTF Class room) F (NWTF Class room)  09:00-10:15,,,,W,F,,9:00 AM,10:15 AM,,,,
DYNAMICS AND VIBRATION(AE688),3-0-0-0(9),Tanmay Mathur(I),WF 12:00-13:15,,,,W,F,,12:00 PM,13:15 PM,,,,
DYNAMICS AND VIBRATION(AE688A),3-0-0-0(9),Tanmay Mathur(I),W (NWTF Class room) F (NWTF Class room)  12:00-13:15,,,,W,F,,12:00 PM,13:15 PM,,,,
UNSTEADY COMBUSTOR DYNAMICS(AE695A),3-0-0-0(9),Pingala Admin Not Offered(I),,,,,,,,,,,,,
M TECH THESIS(AE699),0-0-0-0(0),"DPGCAE (I), DUGCAE (O)",,,,,,,,,,,,,
CONTINUUM MECHANICS(AE702),3-0-0-0(9),C S  UPADHYAY   (I),MTh 10:30-12:00,,,,M,Th,,10:30 AM,12:00 PM,,,,
CONTINUUM MECHANICS(AE702A),3-0-0-0(9),C S  UPADHYAY   (I),M (Helicopter building) Th (Helicopter building)  10:30-12:00,,,,M,Th,,10:30 AM,12:00 PM,,,,
COMPUTATIONAL METHODS(AE703),3-0-0-0(9),"ASHOKE  DE (I), Pradeep Moise(O)",MTh 09:00-10:15,,,,M,Th,,9:00 AM,10:15 AM,,,,
COMPUTATIONAL METHODS(AE703A),3-0-0-0(9),"ASHOKE  DE (I), Pradeep Moise(O)",M (Helicopter building) Th (Helicopter building)  09:00-10:15,,,,M,Th,,9:00 AM,10:15 AM,,,,
DEFORMATION AND FRACTURE(AE704),3-0-0-0(9),RAJESH  KITEY   (I),WF 10:30-12:00,,,,W,F,,10:30 AM,12:00 PM,,,,
DEFORMATION AND FRACTURE(AE704A),3-0-0-0(9),RAJESH  KITEY   (I),WF 10:30-12:00,,,,W,F,,10:30 AM,12:00 PM,,,,
MOLECULAR GAS DYNAMICS(AE747A),3-0-0-0(9),Not Offered (I),,,,,,,,,,,,,
OPTIMAL SPACE FLIGHT CONTROL(AE777),3-0-0-0(9),ASHISH  TIWARI (I),MTh 12:00-13:15,,,,M,Th,,12:00 PM,13:15 PM,,,,
