Course Name/Group Name,Credits,Instructor,Time,Time.1,Time.2,Cleaned_Time_3,day1,day2,day3,start_time123,end_time123,day4,day5,start_time456,end_time456
AIR POLLUTION AND ITS CONTROL(CE666),3-0-0-0(9),SACHCHIDANAND  TRIPATHI (I),"T 14:00-15:15 ,M 15:30-17:00",,,,T,1,,14:00 PM,15:15 PM,M,,15:30 PM,17:00 PM
AIR POLLUTION AND ITS CONTROL(CE666A),3-0-0-0(9),SACHCHIDANAND  TRIPATHI (I),"T (L04)  14:00-15:15 ,M (L04)  15:30-17:00",,,,T,1,,14:00 PM,15:15 PM,M,,15:30 PM,17:00 PM
INTRODUCTION TO REMOTE SENSING(CE671),3-0-2-0(11),Salil Goel(I),MTh 12:00-13:15,,F 14:00-16:00,,M,Th,,12:00 PM,13:15 PM,,,,
INTRODUCTION TO REMOTE SENSING(CE671A),3-0-2-0(11),Salil Goel(I),M (WL237) Th (WL237)  12:00-13:15,,F 14:00-16:00,,M,Th,,12:00 PM,13:15 PM,,,,
INTRODUCTION TO GEODESY(CE678),3-0-2-0(11),Balaji Devaraju(I),WF 10:30-12:00,,W 14:00-16:00,,W,F,,10:30 AM,12:00 PM,,,,
PHYSICAL GEODESY(CE678A),3-0-2-0(11),Balaji Devaraju(I),W (T111) F (T111)  10:30-12:00,,W 14:00-16:00,,W,F,,10:30 AM,12:00 PM,,,,
TRAFFIC ENGINEERING(CE683),3-0-0-0(9),PARTHA  CHAKROBORTY (I),TTh 15:30-17:00,,,,T,Th,,15:30 PM,17:00 PM,,,,
TRAFFIC ENGINEERING(CE683A),3-0-0-0(9),PARTHA  CHAKROBORTY (I),T (L08) Th (L08)  15:30-17:00,,,,T,Th,,15:30 PM,17:00 PM,,,,
M. TECH THESIS(CE699),0-0-0-0(0),"DPGCCE (I), DUGCCE (O)",,,,,,,,,,,,,
UNSATURATED SOIL MECHANICS(CE732),3-0-0-0(9),Partha Narayan Mishra (I),WF 10:30-12:00,,,,W,F,,10:30 AM,12:00 PM,,,,
UNSATURATED SOIL MECHANICS(CE732A),3-0-0-0(9),Partha Narayan Mishra (I),W (T101) F (T101)  10:30-12:00,,,,W,F,,10:30 AM,12:00 PM,,,,
HYDROMETRY(CE738),2-0-3-0(9),SHIVAM TRIPATHI(I),MTh 10:30-12:00,,ThF 14:00-17:00,,M,Th,,10:30 AM,12:00 PM,,,,
HYDROMETRY(CE738A),2-0-3-0(9),SHIVAM TRIPATHI(I),M (WL237) Th (WL237)  10:30-12:00,,ThF 14:00-17:00,,M,Th,,10:30 AM,12:00 PM,,,,
ADJUSTMENT COMPUTATIONS FOR GEOINFORMATICS-I(CE770),2-0-1-0(6),ONKAR  DIKSHIT   (I),WF 12:00-13:15,,WF 16:00-17:00,,W,F,,12:00 PM,13:15 PM,,,,
ADJUSTMENT COMPUTATIONS FOR GEOINFORMATICS-I(CE770A),2-0-1-0(6),ONKAR  DIKSHIT   (I),W (T105) F (T105)  12:00-13:15,,WF 16:00-17:00,,W,F,,12:00 PM,13:15 PM,,,,
REFERENCE FRAMES  COORDINATE SYSTEMS AND MAP PROJECTIONS(CE772M),3-0-1-0(6),NAGARAJAN BALASUBRAMANIAN(I),M (WL228) Th (WL228)  10:30-12:00,,Th 14:00-16:50,,M,Th,,10:30 AM,12:00 PM,,,,
GEODETIC ASTRONOMY AND INTRODUCTION TO SATELLITE GEODESY(CE773M),3-0-1-0(6),NAGARAJAN BALASUBRAMANIAN(I),MTh 10:30-12:00,,Th 14:00-14:50,,M,Th,,10:30 AM,12:00 PM,,,,
ANALYSIS AND DESIGN OF BITUMINOUS PAVEMENTS(CE786),3-0-0-0(9),ANIMESH  DAS (I),WF 09:00-10:15,,,,W,F,,9:00 AM,10:15 AM,,,,
ANALYSIS AND DESIGN OF BITUMINOUS PAVEMENTS(CE786A),3-0-0-0(9),ANIMESH  DAS (I),W (T111) F (T111)  09:00-10:15,,,,W,F,,9:00 AM,10:15 AM,,,,
COMPUTATIONAL TOOLS FOR TRANSPORTATION ENGINEERING(CE787),3-0-0-0(9),"Pranamesh Chakraborty(I), Aditya Medury(O)","T 14:00-15:15 ,M 15:30-17:00",,F 14:00-16:50,,T,1,,14:00 PM,15:15 PM,M,,15:30 PM,17:00 PM
COMPUTATIONAL TOOLS FOR TRANSPORTATION ENGINEERING(CE787A),3-0-2-0(11),"Pranamesh Chakraborty(I), Aditya Medury(O)","T (T108)  14:00-15:15 ,M (T108)  15:30-17:00",,F 14:00-16:50,,T,1,,14:00 PM,15:15 PM,M,,15:30 PM,17:00 PM
LITERATURE SEARCH AND REVIEW(CE791A),0-0-0-0(5),DPGCCE (I),,,,,,,,,,,,,
SCIENTIFIC WRITING SKILLS(CE792A),0-0-0-0(5),DPGCCE (I),,,,,,,,,,,,,
SCIENTIFIC PRASENTATION SKILLS(CE793A),0-0-0-0(5),DPGCCE (I),,,,,,,,,,,,,
SCIENTIFIC DATA ANALYSIS  PRESENTATION AND INTERPRETATION(CE794A),0-0-0-0(5),DPGCCE (I),,,,,,,,,,,,,
PHD SEMINAR I(CE797A),0-0-0-0(0),DPGCCE (I),,,,,,,,,,,,,
PHD SEMINAR II(CE798A),0-0-0-0(0),DPGCCE (I),,,,,,,,,,,,,
PHD THESIS(CE799),0-0-0-0(0),DPGCCE (I),,,,,,,,,,,,,
MS RESEARCH SEMINAR I(CE897A),0-0-0-0(0),DPGCCE (I),,,,,,,,,,,,,
MS - RESEARCH THESIS(CE899),0-0-0-0(0),DPGCCE (I),,,,,,,,,,,,,
COMPUTATIONAL METHODS IN ENGINEERING(ESO208),3-1-0-0(11),Gourabananda Pahar(I),MThF 11:00-12:00,W 11:00-12:00,,,M,Th,,11:00 AM,12:00 PM,,,,
COMPUTATIONAL METHODS IN ENGINEERING(ESO208A),3-1-0-0(11),Gourabananda Pahar(I),M (L07) Th (L07) F (L07)  11:00-12:00,W (T206) W (T203) W (T207) W (T204) W (T208) W (T210) W (T205) W (T211) W (T209)  11:00-12:00,,,M,Th,,11:00 AM,12:00 PM,,,,
APPLIED PROBABILITY AND STATISTICS(HSO201A),3-1-0-0(11),"JOYDEEP  DUTTA (I), Aditya Vikram(O)",MThF 11:00-12:00,W 11:00-12:00,,,M,Th,,11:00 AM,12:00 PM,,,,
ENGINEERING GRAPHICS(TA111) /A,2-0-3-0(9),SUDHIR MISRA(I),M (L18) W (L18)  15:00-16:00,,MTWThF 10:00-13:00,,M,W,,15:00 PM,16:00 PM,,,,
ENGINEERING GRAPHICS(TA111) /B,2-0-3-0(9),PRISHATI  RAYCHOWDHURY   (I),M (L19) W (L19)  15:00-16:00,,MTWThF 10:00-13:00,,M,W,,15:00 PM,16:00 PM,,,,
INTRODUCTION TO COGNITIVE SCIENCE(CGS401A),3-0-0-0(9),ARK VERMA(I),M (L07) Th (L07)  14:00-15:15,,,,M,Th,,14:00 PM,15:15 PM,,,,
COMPUTATIONAL TOOLS FOR COGNITIVE SCIENCE(CGS600A),3-0-2-0(11),Pragathi Balasubramani(I),M (WL235) Th (WL235)  12:00-13:15,,,,M,Th,,12:00 PM,13:15 PM,,,,
FOUNDATIONS OF COGNITIVE SCIENCE(CGS601),3-0-0-0(9),Narayanan Srinivasan(I),MTh 10:30-12:00,,,,M,Th,,10:30 AM,12:00 PM,,,,
FOUNDATIONS OF COGNITIVE SCIENCE(CGS601A),3-0-0-0(9),Narayanan Srinivasan(I),MTh 10:30-12:00,,,,M,Th,,10:30 AM,12:00 PM,,,,
BASIC STATISTICS DATA ANALYSIS & INFERENCE(CGS602),3-0-2-0(11),Sharika KM(I),WF 17:00-18:30,,,,W,F,,17:00 PM,18:30 PM,,,,
BASIC STATISTICS DATA ANALYSIS & INFERENCE(CGS602A),3-0-2-0(11),Sharika KM(I),W (T106) F (T106)  17:00-18:30,,,,W,F,,17:00 PM,18:30 PM,,,,
EXPERIMENT DESIGN AND ANALYSIS(CGS610),3-0-0-0(5),DEVPRIYA KUMAR(I),TTh 15:30-17:00,,,,T,Th,,15:30 PM,17:00 PM,,,,
EXPERIMENT DESIGN AND ANALYSIS(CGS610A),3-0-0-0(5),DEVPRIYA KUMAR(I),T (T109) Th (T109)  15:30-17:00,,,,T,Th,,15:30 PM,17:00 PM,,,,
BASICS OF PSYCHOPHYSICS(CGS611),3-0-0-0(5),DEVPRIYA KUMAR(I),TTh 15:30-17:00,,,,T,Th,,15:30 PM,17:00 PM,,,,
BASICS OF PSYCHOPHYSICS(CGS611A),3-0-0-0(5),DEVPRIYA KUMAR(I),T (T107) Th (T107)  15:30-17:00,,,,T,Th,,15:30 PM,17:00 PM,,,,
SEMINAR ON COGNITIVE SCIENCE(CGS700),0-0-0-0(0),DEVPRIYA KUMAR(I),WF 10:30-12:00,,,,W,F,,10:30 AM,12:00 PM,,,,
SEMINAR ON COGNITIVE SCIENCE(CGS700A),0-0-0-0(9),DEVPRIYA KUMAR(I),W (WL237) F (WL237)  10:30-12:00,,,,W,F,,10:30 AM,12:00 PM,,,,
PROJECT(CGS702A),0-0-0-0(9),ARK VERMA(I),"T (T109)  14:00-15:15 ,M (T109)  15:30-17:00",,,,T,1,,14:00 PM,15:15 PM,M,,15:30 PM,17:00 PM
PHD THESIS(CGS799),0-0-0-0(0),DPGCCGS (I),,,,,,,,,,,,,
MS - RESEARCH THESIS(CGS899),0-0-0-0(0),DPGCCGS (I),,,,,,,,,,,,,
INTRODUCTION TO CHEMICAL ENGINEERING(CHE201),1-0-0-0(3),SIDDHARTHA  PANDA (I),T (L06)  10:00-11:00,,,,T,1,,10:00 AM,11:00 AM,,,,
CHEMICAL PROCESS CALCULATIONS(CHE251),3-0-3-0(12),"SRI  SIVAKUMAR (I), DUGCCHE (O)",M (L01) W (L01) F (L01)  12:00-13:00,,MW 14:00-17:00,,M,W,F,12:00 PM,13:00 PM,,,,
CHEMICAL ENGINEERING COMMUNICATION SKILLS(CHE300A),0-0-2-0(2),RAGHVENDRA  SINGH (I),,,T 10:00-12:00,,,,,,,,,,
HEAT TRANSFER & ITS APPLICATIONS(CHE312A),3-0-0-0(9),ANURAG TRIPATHI(I),"M (L03) F (L03)  08:00-09:00 ,T (L03)  09:00-10:00",,,,M,F,,8:00 AM,9:00 AM,T,,9:00 AM,10:00 AM
MASS TRANSFER & ITS APPLICATIONS(CHE313A),3-0-0-0(9),RAJ GANESH S  PALA (I),"W (L03)  16:00-17:00 ,T (L03) Th (L03)  17:00-18:00",,,,W,1,,16:00 PM,17:00 PM,T,Th,17:00 PM,18:00 PM
UG PROJECT (UGP-I)(CHE349A),0-0-0-4(4),DUGCCHE (I),,,,,,,,,,,,,
CHEMICAL PROCESS SIMULATION LAB(CHE352A),1-0-2-0(5),PANKAJ  A  APTE (I),W (L03)  14:00-15:00,,ThF 14:00-16:00,,W,1,,14:00 PM,15:00 PM,,,,
UNIT OPERATION LABORATORY -I(CHE391A),1-0-3-2(8),DUGCCHE (I),,,,,,,,,,,,,
CHEMICAL ENGINEERING DESIGN(CHE453A),3-0-2-0(11),Dipin Pillai(I),T (L03) W (L03) Th (L03)  08:00-09:00,,MT 14:00-16:00,,T,W,T,8:00 AM,9:00 AM,,,,
UNIT OPERATIONS AND PROCESS CONTROL LABORATORY(CHE492A),1-0-3-2(8),"Rahul  Mangal(I), ANIMANGSU  GHATAK (O), RAJU KUMAR GUPTA(O)",W (L03)  15:00-16:00,,MTTh 14:00-17:00,,W,1,,15:00 PM,16:00 PM,,,,
UNDER GRADUATE PROJECT-III(CHE497A),0-0-0-0(9),DUGCCHE (I),,,,,,,,,,,,,
UNDER GRADUATE PROJECT IV(CHE498A),0-0-9-0(9),DUGCCHE (I),,,,,,,,,,,,,
TRANSPORT PHENOMENA(CHE611),3-0-0-0(9),K P Krishnaraj(I),TTh 15:30-17:00,,,,T,Th,,15:30 PM,17:00 PM,,,,
TRANSPORT PHENOMENA(CHE611A),3-0-0-0(9),K P Krishnaraj(I),T (T110) Th (T110)  15:30-17:00,,,,T,Th,,15:30 PM,17:00 PM,,,,
THE STRUCTURE & RHEOLOGY OF COMPLEX FLUIDS(CHE613),3-0-0-0(9),YOGESH MORESHWAR  JOSHI (I),MTh 12:00-13:15,,,,M,Th,,12:00 PM,13:15 PM,,,,
THE STRUCTURE & RHEOLOGY OF COMPLEX FLUIDS(CHE613A),3-0-0-0(9),YOGESH MORESHWAR  JOSHI (I),M (T107) Th (T107)  12:00-13:15,,,,M,Th,,12:00 PM,13:15 PM,,,,
THERMODYNAMICS(CHE621),3-0-0-0(9),INDRANIL SAHA DALAL(I),"T 14:00-15:15 ,M 15:30-17:00",,,,T,1,,14:00 PM,15:15 PM,M,,15:30 PM,17:00 PM
THERMODYNAMICS(CHE621A),3-0-0-0(9),INDRANIL SAHA DALAL(I),"T (T106)  14:00-15:15 ,M (T106)  15:30-17:00",,,,T,1,,14:00 PM,15:15 PM,M,,15:30 PM,17:00 PM
CHEMICAL REACTION ENGINEERING(CHE631),3-0-0-0(9),Vishal  Agarwal (I),MTh 09:00-10:15,,,,M,Th,,9:00 AM,10:15 AM,,,,
CHEMICAL REACTION ENGINEERING(CHE631A),3-0-0-0(9),Vishal  Agarwal (I),M (T209) Th (T209)  09:00-10:15,,,,M,Th,,9:00 AM,10:15 AM,,,,
ANALYSIS AND DESIGN OF MULTIPHASE REACTORS(CHE632),3-0-0-0(9),Raghavendra Ragipani(I),WF 09:00-10:15,,,,W,F,,9:00 AM,10:15 AM,,,,
ANALYSIS AND DESIGN OF MULTIPHASE REACTORS(CHE632A),3-0-0-0(9),Raghavendra Ragipani(I),W (WL237) F (WL237)  09:00-10:15,,,,W,F,,9:00 AM,10:15 AM,,,,
MATHEMATICAL METHODS IN CHEMICAL ENGINEERING(CHE641),3-0-0-0(9),VISWANATHAN  SHANKAR (I),MTh 10:30-12:00,,,,M,Th,,10:30 AM,12:00 PM,,,,
MATHEMATICAL METHODS IN CHEMICAL ENGINEERING(CHE641A),3-0-0-0(9),VISWANATHAN  SHANKAR (I),M (L15) Th (L15)  10:30-12:00,,,,M,Th,,10:30 AM,12:00 PM,,,,
PROCESS ENGG. PRINCIPLES IN MICRO. FABRICATION(CHE659),3-0-0-0(9),SIDDHARTHA  PANDA (I),MTh 12:00-13:15,,,,M,Th,,12:00 PM,13:15 PM,,,,
PROCESS ENGG. PRINCIPLES IN MICRO. FABRICATION(CHE659A),3-0-0-0(9),SIDDHARTHA  PANDA (I),M (L14) Th (L14)  12:00-13:15,,,,M,Th,,12:00 PM,13:15 PM,,,,
CONVECTIVE HEAT AND MASS TRANSFER IN CHEMICAL ENGINEERING APPLICATIONS(CHE663),3-0-0-0(9),NISHITH  KUMAR VERMA(I),WF 10:30-12:00,,,,W,F,,10:30 AM,12:00 PM,,,,
CONVECTIVE HEAT AND MASS TRANSFER IN CHEMICAL ENGINEERING APPLICATIONS(CHE663A),3-0-0-0(9),NISHITH  KUMAR VERMA(I),W (T106) F (T106)  10:30-12:00,,,,W,F,,10:30 AM,12:00 PM,,,,
INTRODUCTION TO PHYSICS OF POLYMERIC SYSTEM(CHE677),3-0-0-0(9),Harshwardhan  Katkar(I),MWF 17:00-18:00,,,,M,W,F,17:00 PM,18:00 PM,,,,
INTRODUCTION TO PHYSICS OF POLYMERIC SYSTEM(CHE677A),3-0-0-0(9),Harshwardhan  Katkar(I),M (T209) W (T209) F (T209)  17:00-18:00,,,,M,W,F,17:00 PM,18:00 PM,,,,
M TECH THESIS(CHE699),0-0-0-0(0),"DPGCCHE (I), DUGCCHE (O)",,,,,,,,,,,,,
PHD THESIS(CHE799),0-0-0-0(0),DPGCCHE (I),,,,,,,,,,,,,
GRADUATE SEMINAR(CHE801A),0-0-0-0(0),Rahul  Mangal(I),"T (T110)  11:00-12:00 ,W (T110) F (T110)  16:00-17:00 ,Th (T110)  17:00-18:00",,,Th17:00-18:00,T,1,,11:00 AM,12:00 PM,W,F,16:00 PM,17:00 PM
GRADUATE SEMINAR(CHE802A),0-0-0-0(0),Rahul  Mangal(I),"T 11:00-12:00 ,WF 16:00-17:00 ,Th 17:00-18:00",,,Th17:00-18:00,T,1,,11:00 AM,12:00 PM,W,F,16:00 PM,17:00 PM
MS - RESEARCH THESIS(CHE899),0-0-0-0(0),DPGCCHE (I),,,,,,,,,,,,,
FLUID MECHANICS AND RATE PROCESSES(ESO204),3-1-0-0(11),NAVEEN TIWARI(I),M (L19) W (L19) F (L19)  11:00-12:00,Th (T105) Th (T106) Th (T101) Th (T103) Th (T104) Th (T102)  11:00-12:00,,,M,W,F,11:00 AM,12:00 PM,,,,
CHEMISTRY LABORATORY(CHM111) /C,0-0-3-0(3),"Apparao Draksharapu(I), Dharmaraja Allimuthu(O), THIRUVANCHERIL G GOPAKUMAR(O)",,,MTWTh 14:00-17:00,,,,,,,,,,
CHEMISTRY LABORATORY(CHM111) /D,0-0-3-0(3),"Apparao Draksharapu(I), Dharmaraja Allimuthu(O), THIRUVANCHERIL G GOPAKUMAR(O)",,,MTWTh 14:00-17:00,,,,,,,,,,
GENERAL CHEMISTRY: PHYSICAL CHEMISTRY(CHM112M) /B,2-1-0-0(4),"Vishal  (I), Arnab  Ghosh(O)",T (L19) Th (L19)  15:00-16:00,F (L12) F (L10) F (L11)  15:00-16:00,,,T,Th,,15:00 PM,16:00 PM,,,,
GENERAL CHEMISTRY: PHYSICAL CHEMISTRY(CHM112M) /A,2-1-0-0(4),"Vishal  (I), Arnab  Ghosh(O)",M (L19) W (L19)  14:00-15:00,F (L13) F (L14) F (L15)  15:00-16:00,,,M,W,,14:00 PM,15:00 PM,,,,
GENERAL CHEMISTRY: INORGANIC & ORGANIC CHEMISTRY(CHM113M) /A,2-1-0-0(4),"Prakash Mondal(I), Ramkrishna Sarkar(O)",MW 14:00-15:00,F 15:00-16:00,,,M,W,,14:00 PM,15:00 PM,,,,
GENERAL CHEMISTRY: INORGANIC & ORGANIC CHEMISTRY(CHM113M) /B,2-1-0-0(4),"Prakash Mondal(I), Ramkrishna Sarkar(O)",TTh 15:00-16:00,F 15:00-16:00,,,T,Th,,15:00 PM,16:00 PM,,,,
BASIC ORGANIC CHEMISTRY-I(CHM201),3-0-0-0(9),Srinivas Dharavath(I),M (L15) W (L15) F (L15)  12:00-13:00,,,,M,W,F,12:00 PM,13:00 PM,,,,
BAISC PHYSICAL CHEMISTRY I(CHM221),3-0-0-0(9),Mainak  Sadhukhan(I),M (L11) W (L11) F (L11)  11:00-12:00,,,,M,W,F,11:00 AM,12:00 PM,,,,
BASIC INORGANIC CHEMISTRY - I(CHM241),3-0-0-0(9),RAJA ANGAMUTHU(I),M (L19) W (L19) Th (L19)  17:00-18:00,,,,M,W,T,17:00 PM,18:00 PM,,,,
ORGANIC CHEMISTRY I(CHM303A),3-0-0-0(9),Parthasarathi Subramanian(I),"M (L05) F (L05)  08:00-09:00 ,T (L05)  09:00-10:00",,,,M,F,,8:00 AM,9:00 AM,T,,9:00 AM,10:00 AM
ORGANIC QUALITATIVE & QUANTITATIVE ANALYSIS(CHM305A),0-0-6-0(6),ANAND SINGH(I),,,WTh 14:00-17:00,,,,,,,,,,
PHYSICAL CHEMISTRY I(CHM321),3-0-0-0(9),NISANTH N  NAIR (I),MWF 10:00-11:00,,,,M,W,F,10:00 AM,11:00 AM,,,,
PHYSICAL CHEMISTRY I(CHM321A),3-0-0-0(9),NISANTH N  NAIR (I),M (L11) W (L11) F (L11)  10:00-11:00,,,,M,W,F,10:00 AM,11:00 AM,,,,
INORGANIC CHEMISTRY I(CHM345A),3-0-0-0(9),ANANTHARAMAN  GANAPATHI (I),M (T108) W (T108) F (T108)  17:00-18:00,,,,M,W,F,17:00 PM,18:00 PM,,,,
CHEMISTRY COMMUNICATION SKILLS(CHM361),2-0-0-0(6),"MANAS KUMAR  GHORAI (I), THIRUVANCHERIL G GOPAKUMAR(O)","T 10:00-12:00 ,F 15:00-17:00",,,,T,1,,10:00 AM,12:00 PM,F,,15:00 PM,17:00 PM
CHEMISTRY COMMUNICATION SKILLS(CHM361A),0-0-2-0(2),"MANAS KUMAR  GHORAI (I), THIRUVANCHERIL G GOPAKUMAR(O)","F (L03)  15:00-17:00 ,T (L03)  10:00-12:00",,,,F,1,,15:00 PM,17:00 PM,T,,10:00 AM,12:00 PM
UNDER GRADUATE PROJECT-I(CHM391A),0-0-4-0(4),DUGCCHM (I),,,,,,,,,,,,,
ORGANIC CHEMISTRY I(CHM401),3-0-0-0(9),Parthasarathi Subramanian(I),"MF 08:00-09:00 ,T 09:00-10:00",,,,M,F,,8:00 AM,9:00 AM,T,,9:00 AM,10:00 AM
ORGANIC CHEMISTRY I(CHM401A),3-0-0-0(9),Parthasarathi Subramanian(I),"MF 08:00-09:00 ,T 09:00-10:00",,,,M,F,,8:00 AM,9:00 AM,T,,9:00 AM,10:00 AM
PHYSICAL CHEMISTRY I(CHM421A),3-0-0-0(9),NISANTH N  NAIR (I),MWF 10:00-11:00,,,,M,W,F,10:00 AM,11:00 AM,,,,
PHYSICAL CHEMISTRY LAB(CHM423),0-0-6-0(6),MANABENDRA CHANDRA(I),,,MTWTh 14:00-17:00,,,,,,,,,,
PHYSICAL CHEMISTRY LABORATORY(CHM423A),0-0-6-0(6),MANABENDRA CHANDRA(I),,,MTWTh 14:00-17:00,,,,,,,,,,
UNDER GRADUATE PROJECT-III(CHM491A),0-0-0-0(9),DUGCCHM (I),,,,,,,,,,,,,
ORGANIC PREPARATION LAB(CHM503),0-0-6-0(6),V K  SINGH (I),,,MT 14:00-17:00,,,,,,,,,,
ORGANIC PREPARATION LAB(CHM503A),0-0-6-0(6),V K  SINGH (I),,,MT 14:00-17:00,,,,,,,,,,
MATHEMATICS FOR CHEMISTRY(CHM521),2-0-0-0(6),Devendra Mani(I),MTh 12:00-12:50,,,,M,Th,,12:00 PM,12:50 PM,,,,
MATHEMATICS FOR CHEMISTRY(CHM521A),2-0-0-0(6),Devendra Mani(I),MTh 12:00-12:50,,,,M,Th,,12:00 PM,12:50 PM,,,,
MATHEMATICS FOR CHEMISTRY(CHM600),3-0-0-0(9),Devendra Mani(I),MTh 12:00-13:15,,,,M,Th,,12:00 PM,13:15 PM,,,,
MATHEMATICS FOR CHEMISTRY(CHM600A),3-0-0-0(9),Devendra Mani(I),M (L09) Th (L09)  12:00-13:15,,,,M,Th,,12:00 PM,13:15 PM,,,,
PRINCIPLES OF ORGANIC CHEMISTRY(CHM609),3-0-0-0(9),RAMESH  RAMAPANICKER (I),WF 10:30-11:50,,,,W,F,,10:30 AM,11:50 AM,,,,
PRINCIPLES OF ORGANIC CHEMISTRY(CHM609A),3-0-0-0(9),RAMESH  RAMAPANICKER (I),WF 10:30-11:50,,,,W,F,,10:30 AM,11:50 AM,,,,
PHYSICAL ORGANIC CHEMISTRY(CHM611),3-0-0-0(9),DATTATRAYA H DETHE(I),MTh 10:30-12:00,,,,M,Th,,10:30 AM,12:00 PM,,,,
PHYSICAL ORGANIC CHEMISTRY(CHM611A),3-0-0-0(9),DATTATRAYA H DETHE(I),M (L14) Th (L14)  10:30-12:00,,,,M,Th,,10:30 AM,12:00 PM,,,,
CHEMISTRY OF ORGANOMETALLIC COMPOUNDS(CHM616),3-0-0-0(9),M L N  RAO (I),TWTh 08:00-09:00,,,,T,W,T,8:00 AM,9:00 AM,,,,
CHEMISTRY OF ORGANOMETALLIC COMPOUNDS(CHM616A),3-0-0-0(9),M L N  RAO (I),T (FB426) W (FB426) Th (FB426)  08:00-09:00,,,,T,W,T,8:00 AM,9:00 AM,,,,
CHEMICAL BINDING(CHM621),3-0-0-0(9),DEBABRATA  GOSWAMI (I),WF 10:30-12:00,,,,W,F,,10:30 AM,12:00 PM,,,,
CHEMICAL BINDING(CHM621A),3-0-0-0(9),DEBABRATA  GOSWAMI (I),W (L13) F (L13)  10:30-12:00,,,,W,F,,10:30 AM,12:00 PM,,,,
PRINCIPLES OF PHYSICAL CHEMISTRY(CHM629),3-0-0-0(9),DASARI L V K PRASAD(I),MTh 09:00-10:15,,,,M,Th,,9:00 AM,10:15 AM,,,,
PRINCIPLES OF PHYSICAL CHEMISTRY(CHM629A),3-0-0-0(9),DASARI L V K PRASAD(I),M (FB434) Th (FB434)  09:00-10:15,,,,M,Th,,9:00 AM,10:15 AM,,,,
APPLICATIONS OF MODERN INSTRUMENTAL METHODS(CHM631),3-0-0-0(9),"Dharmaraja Allimuthu(I), Apparao Draksharapu(O)",WF 09:00-10:15,,,,W,F,,9:00 AM,10:15 AM,,,,
APPLICATIONS OF MODERN INSTRUMENTAL METHODS(CHM631A),3-0-0-0(9),"Dharmaraja Allimuthu(I), Apparao Draksharapu(O)",W (L05) F (L05)  09:00-10:15,,,,W,F,,9:00 AM,10:15 AM,,,,
BIO-INORGANIC CHEMISTRY(CHM646),3-0-0-0(9),SANKAR PRASAD  RATH (I),MF 08:00-09:00,,,,M,F,,8:00 AM,9:00 AM,,,,
BIO-INORGANIC CHEMISTRY(CHM646A),3-0-0-0(9),SANKAR PRASAD  RATH (I),M (L13) F (L13)  08:00-09:00,,,,M,F,,8:00 AM,9:00 AM,,,,
THE CHEMISTRY OF METAL-CARBON BOND: STRUCTURE REACTIVITY & APPLICATIONS(CHM648),3-0-0-0(9),BASKER SUNDARARAJU(I),MTh 12:00-13:15,,,,M,Th,,12:00 PM,13:15 PM,,,,
THE CHEMISTRY OF METAL-CARBON BOND: STRUCTURE REACTIVITY & APPLICATIONS(CHM648A),3-0-0-0(9),BASKER SUNDARARAJU(I),M (T108) Th (T108)  12:00-13:15,,,,M,Th,,12:00 PM,13:15 PM,,,,
PRINCIPLES OF INORGANIC CHEMISTRY(CHM649),3-0-0-0(9),Ritika  Gautam(I),WF 10:30-12:00,,,,W,F,,10:30 AM,12:00 PM,,,,
PRINCIPLES OF INORGANIC CHEMISTRY(CHM649A),3-0-0-0(9),Ritika  Gautam(I),W (FB434) F (FB434)  10:30-12:00,,,,W,F,,10:30 AM,12:00 PM,,,,
ORGANIC STRUCTURE DETERMINATION BY SPECTROSCOPIC TECHNIQUES(CHM656),3-0-0-0(9),R  GURUNATH (I),WF 17:00-18:30,,,,W,F,,17:00 PM,18:30 PM,,,,
ORGANIC STRUCTURE DETERMINATION BY SPECTROSCOPIC TECHNIQUES(CHM656A),3-0-0-0(9),R  GURUNATH (I),W (T207) F (T207)  17:00-18:30,,,,W,F,,17:00 PM,18:30 PM,,,,
FRONTIERS IN INORGANIC CHEMISTRY(CHM691),3-0-0-0(9),SABUJ KUMAR KUNDU(I),WF 17:00-18:30,,,,W,F,,17:00 PM,18:30 PM,,,,
FRONTIERS IN INORGANIC CHEMISTRY(CHM691A),3-0-0-0(9),SABUJ KUMAR KUNDU(I),W (T111) F (T111)  17:00-18:30,,,,W,F,,17:00 PM,18:30 PM,,,,
MOLECULAR MODELLING IN CHEMISTRY(CHM695),3-0-0-0(9),AMALENDU  CHANDRA     (I),WF 17:00-18:30,,,,W,F,,17:00 PM,18:30 PM,,,,
MOLECULAR MODELLING IN CHEMISTRY(CHM695A),3-0-0-0(9),AMALENDU  CHANDRA     (I),W (FB434) F (FB434)  17:00-18:30,,,,W,F,,17:00 PM,18:30 PM,,,,
CHEMISTRY OF DRUG DESIGN AND METABOLISM(CHM698),3-0-0-0(9),SANDEEP  VERMA   (I),MTh 12:00-13:15,,,,M,Th,,12:00 PM,13:15 PM,,,,
CHEMISTRY OF DRUG DESIGN AND METABOLISM(CHM698A),3-0-0-0(9),SANDEEP  VERMA   (I),M (FB426) Th (FB426)  12:00-13:15,,,,M,Th,,12:00 PM,13:15 PM,,,,
M. Sc. PROJECT(CHM699A),3-0-0-0(18),DUGCCHM (I),,,,,,,,,,,,,
RESEARCH(CHM799),0-0-0-0(0),DPGCCHM (I),,,,,,,,,,,,,
