,Course Name,Credits,Instructor,Time,Time.1,Time.2,day1,day2,day3,day4,day5,start_time_7,end_time_7,day7,start_time_8,end_time_8,day8,day9,day10,day11,start_time_1,start_time_2,start_time_3,end_time_1,end_time_2,end_time_3,start_time_4,start_time_5,end_time_4,end_time_5,end_time_9,end_time_10,end_time_11,start_time_9,start_time_10,start_time_11,Course Code
59,SCIENTIFIC & PROFESSIONAL COMMUNICATION(BSE301A),2,"Nitin  Mohan(I), Dibyendu Kumar Das  (O)",T (BSBE SR)  10:00-12:00,,,T,1,,,,,,,,,,,,,10:00 AM,10:00 AM,10:00 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,BSE301A
60,MOLECULAR CELL BIOLOGY(BSE311A),9,AMITABHA  BANDYOPADHYAY     (I),"M (BSBE SR) F (BSBE SR)  08:00-09:00 ,T (BSBE SR)  09:00-10:00",,,M,F,,T,,,,,,,,,,,8:00 AM,8:00 AM,8:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,10:00 AM,10:00 AM,,,,,,,BSE311A
61,MOLECULAR BIOLOGY LAB(BSE312A),9,Suresh Kumar(I),Th (BSBE SR)  17:10-18:00,,WTh 14:00-17:00,T,h,,,,,,,,,,W,Th,,17:10 PM,17:10 PM,17:10 PM,18:00 PM,18:00 PM,18:00 PM,,,,,5:00 PM,5:00 PM,5:00 PM,2:00 PM,2:00 PM,2:00 PM,BSE312A
62,BIOMATERIALS(BSE411A),11,Santosh Misra(I),T (BSBE SR) W (BSBE SR) Th (BSBE SR)  08:00-09:00,,,T,W,Th,,,,,,,,,,,,8:00 AM,8:00 AM,8:00 AM,9:00 AM,9:00 AM,9:00 AM,,,,,,,,,,,BSE411A
63,BIOMATERIAL  PHYSIOLOGY & BIO-MEMS LABORATORY(BSE412A),9,"Santosh Misra(I), Rakesh Majhi(O)",T (BSBE SR)  17:10-18:00,,MT 14:00-17:00,T,1,,,,,,,,,,M,T,,17:10 PM,17:10 PM,17:10 PM,18:00 PM,18:00 PM,18:00 PM,,,,,5:00 PM,5:00 PM,5:00 PM,2:00 PM,2:00 PM,2:00 PM,BSE412A
64,METHODS IN BIOTECHNOLOGY-I  EXPERIMENTAL BIOSEPERATION(BSE492A),9,ASHOK  KUMAR (I),M (BSBE SR) Th (BSBE SR)  09:00-10:15,,,M,Th,,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:15 AM,10:15 AM,10:15 AM,,,,,,,,,,,BSE492A
65,PROFESSIONAL COMMUNICATION(BSE601),0,SUBRAMANIAM  GANESH   (I),F 08:00-09:00,,,F,0,,,,,,,,,,,,,8:00 AM,8:00 AM,8:00 AM,9:00 AM,9:00 AM,9:00 AM,,,,,,,,,,,BSE601
66,PROFESSIONAL COMMUNICATION(BSE601A),0,SUBRAMANIAM  GANESH   (I),F (L06)  08:00-09:00,,,F,0,,,,,,,,,,,,,8:00 AM,8:00 AM,8:00 AM,9:00 AM,9:00 AM,9:00 AM,,,,,,,,,,,BSE601A
67,MODERN INSTRUMENTAL METHODS IN BIOLOGICAL SCIENCES(BSE611),3,"Nitin  Mohan(I), Dibyendu Kumar Das  (O)",MTh 12:00-13:15,,,M,Th,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,BSE611
68,MODERN INSTRUMENTAL METHODS IN BIOLOGICAL SCIENCES(BSE611A),9,"Nitin  Mohan(I), Dibyendu Kumar Das  (O)",M (BSBE SR) Th (BSBE SR)  12:00-13:15,,,M,Th,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,BSE611A
69,BIOMATERIALS(BSE613),11,DHIRENDRA S KATTI(I),TWTh 08:00-09:00,,,T,W,Th,,,,,,,,,,,,8:00 AM,8:00 AM,8:00 AM,9:00 AM,9:00 AM,9:00 AM,,,,,,,,,,,BSE613
70,BIOMATERIALS(BSE613A),11,DHIRENDRA S KATTI(I),T (T201) W (T201) Th (T201)  08:00-09:00,,,T,W,Th,,,,,,,,,,,,8:00 AM,8:00 AM,8:00 AM,9:00 AM,9:00 AM,9:00 AM,,,,,,,,,,,BSE613A
71,BIOCHEMISTRY STRUCTURAL BIOLOGY(BSE631),9,RAMASUBBU   SANKARARAMAKRISHNAN(I),WF 12:00-13:15,,,W,F,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,BSE631
72,BIOCHEMISTRY STRUCTURAL BIOLOGY(BSE631A),9,RAMASUBBU   SANKARARAMAKRISHNAN(I),W (BSBE SR) F (BSBE SR)  12:00-13:15,,,W,F,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,BSE631A
