Course Name,Credits,Instructor,Time,Time.1,Time.2,day1,day2,day3,day4,day5,start_time_7,end_time_7,day7,start_time_8,end_time_8,day8,day9,day10,day11,start_time_1,start_time_2,start_time_3,end_time_1,end_time_2,end_time_3,start_time_4,start_time_5,end_time_4,end_time_5,end_time_9,end_time_10,end_time_11,start_time_9,start_time_10,start_time_11,Course Code
MACHINE LEARNING FOR FLUID MECHANICS(AE646A),2-0-3-0(9),"Rajesh Ranjan(I), Murali Damodaran(O)",MTh 17:10-18:00,,W 14:00-17:00,M,Th,,,,,,,,,,W,1,None,17:10 PM,17:10 PM,17:10 PM,18:00 PM,18:00 PM,18:00 PM,,,,,5:00 PM,5:00 PM,5:00 PM,2:00 PM,2:00 PM,2:00 PM,AE646A
FLIGHT DYNAMICS(AE647),3-0-0-0(9),Raghavendra  Kukillaya(I),WF 17:00-18:30,,,W,F,,,,,,,,,,,,,17:00 PM,17:00 PM,17:00 PM,18:30 PM,18:30 PM,18:30 PM,,,,,,,,,,,AE647
FLIGHT DYNAMICS(AE647A),3-0-0-0(9),Raghavendra  Kukillaya(I),W (NWTF Class room) F (NWTF Class room)  17:00-18:30,,,W,F,,,,,,,,,,,,,17:00 PM,17:00 PM,17:00 PM,18:30 PM,18:30 PM,18:30 PM,,,,,,,,,,,AE647A
AUTOMATIC CONTROL OF AIRCRAFT ROCKETS AND SPACECRAFT(AE649),3-0-0-0(4),Dipak  Giri(I),MTh 14:00-15:15,,,M,Th,,,,,,,,,,,,,14:00 PM,14:00 PM,14:00 PM,15:15 PM,15:15 PM,15:15 PM,,,,,,,,,,,AE649
AUTOMATIC CONTROL OF AIRCRAFT ROCKETS AND SPACECRAFT(AE649A),3-0-0-0(9),Dipak  Giri(I),M (Helicopter building) Th (Helicopter building)  14:00-15:15,,,M,Th,,,,,,,,,,,,,14:00 PM,14:00 PM,14:00 PM,15:15 PM,15:15 PM,15:15 PM,,,,,,,,,,,AE649A
AEROMECHANICS OF UNMANNED AERIAL SYSTEMS(AE656),3-0-0-0(9),ABHISHEK   (I),TTh 15:35-16:50,,,T,Th,,,,,,,,,,,,,15:35 PM,15:35 PM,15:35 PM,16:50 PM,16:50 PM,16:50 PM,,,,,,,,,,,AE656
AEROMECHANICS OF UNMANNED AERIAL SYSTEMS(AE656A),3-0-0-0(9),ABHISHEK   (I),T (Helicopter building) Th (Helicopter building)  15:35-16:50,,,T,Th,,,,,,,,,,,,,15:35 PM,15:35 PM,15:35 PM,16:50 PM,16:50 PM,16:50 PM,,,,,,,,,,,AE656A
FUNDAMENTALS OF COMBUSTION(AE663),3-0-0-0(9),D Chaitanya Rao(I),WF 10:35-11:50,,,W,F,,,,,,,,,,,,,10:35 AM,10:35 AM,10:35 AM,11:50 AM,11:50 AM,11:50 AM,,,,,,,,,,,AE663
FUNDAMENTALS OF COMBUSTION(AE663A),3-0-0-0(9),D Chaitanya Rao(I),W (NWTF Class room) F (NWTF Class room)  10:35-11:50,,,W,F,,,,,,,,,,,,,10:35 AM,10:35 AM,10:35 AM,11:50 AM,11:50 AM,11:50 AM,,,,,,,,,,,AE663A
APPLIED COMPRESSIBLE FLOWS(AE664),3-0-0-0(9),Ajay  Singh(I),WF 09:00-10:15,,,W,F,,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:15 AM,10:15 AM,10:15 AM,,,,,,,,,,,AE664
APPLIED COMPRESSIBLE FLOWS(AE664A),3-0-0-0(9),Ajay  Singh(I),W (EEM117) F (EEM117)  09:00-10:15,,,W,F,,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:15 AM,10:15 AM,10:15 AM,,,,,,,,,,,AE664A
AEROSPACE STRUCTURAL ANALYSIS - I(AE670),3-0-0-0(9),P M  MOHITE   (I),WF 09:00-10:15,,,W,F,,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:15 AM,10:15 AM,10:15 AM,,,,,,,,,,,AE670
AEROSPACE STRUCTURAL ANALYSIS - I(AE670A),3-0-0-0(9),P M  MOHITE   (I),W (NWTF Class room) F (NWTF Class room)  09:00-10:15,,,W,F,,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:15 AM,10:15 AM,10:15 AM,,,,,,,,,,,AE670A
DYNAMICS AND VIBRATION(AE688),3-0-0-0(9),Tanmay Mathur(I),WF 12:00-13:15,,,W,F,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,AE688
DYNAMICS AND VIBRATION(AE688A),3-0-0-0(9),Tanmay Mathur(I),W (NWTF Class room) F (NWTF Class room)  12:00-13:15,,,W,F,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,AE688A
UNSTEADY COMBUSTOR DYNAMICS(AE695A),3-0-0-0(9),Pingala Admin Not Offered(I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AE695A
M TECH THESIS(AE699),0-0-0-0(0),"DPGCAE (I), DUGCAE (O)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AE699
CONTINUUM MECHANICS(AE702),3-0-0-0(9),C S  UPADHYAY   (I),MTh 10:30-12:00,,,M,Th,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,AE702
CONTINUUM MECHANICS(AE702A),3-0-0-0(9),C S  UPADHYAY   (I),M (Helicopter building) Th (Helicopter building)  10:30-12:00,,,M,Th,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,AE702A
COMPUTATIONAL METHODS(AE703),3-0-0-0(9),"ASHOKE  DE (I), Pradeep Moise(O)",MTh 09:00-10:15,,,M,Th,,,,,,,,,,,,,9:00 AM,9:00 AM,9:00 AM,10:15 AM,10:15 AM,10:15 AM,,,,,,,,,,,AE703
