,Course Name/Group Name,Credits,Instructor,Time,Time.1,Time.2,day1,day2,day3,start_time123,end_time123,day4,day5,start_time456,end_time456,start_time7,end_time7,day7,start_time8,end_time8,day8
23,VISCOUS FLOWS(AE614A),3-0-0-0(9),KAMAL  PODDAR   (I),T (NWTF Class room) Th (NWTF Class room)  15:30-17:00,,,T,Th,,15:30 PM,17:00 PM,,,,,,,,,,
24,BOUNDARY LAYER INSTABILITY AND TRANSITION(AE617),3-0-0-0(9),Navrose (I),WF 17:00-18:30,,,W,F,,17:00 PM,18:30 PM,,,,,,,,,,
25,BOUNDARY LAYER INSTABILITY AND TRANSITION(AE617A),3-0-0-0(9),Navrose (I),W (Helicopter building) F (Helicopter building)  17:00-18:30,,,W,F,,17:00 PM,18:30 PM,,,,,,,,,,
26,SPORTS AERODYNAMICS(AE643),3-0-0-0(9),SANJAY  MITTAL   (I),M (NWTF Class room) Th (NWTF Class room)  10:30-12:00,,,M,Th,,10:30 AM,12:00 PM,,,,,,,,,,
27,MACHINE LEARNING FOR FLUID MECHANICS(AE646),2-0-3-0(9),"Rajesh Ranjan(I), Murali Damodaran(O)",M (Helicopter building) Th (Helicopter building)  17:10-18:00,,W 14:00-17:00,M,Th,,17:10 PM,18:00 PM,,,,,,,,,,
28,MACHINE LEARNING FOR FLUID MECHANICS(AE646A),2-0-3-0(9),"Rajesh Ranjan(I), Murali Damodaran(O)",MTh 17:10-18:00,,W 14:00-17:00,M,Th,,17:10 PM,18:00 PM,,,,,,,,,,
29,FLIGHT DYNAMICS(AE647),3-0-0-0(9),Raghavendra  Kukillaya(I),WF 17:00-18:30,,,W,F,,17:00 PM,18:30 PM,,,,,,,,,,
30,FLIGHT DYNAMICS(AE647A),3-0-0-0(9),Raghavendra  Kukillaya(I),W (NWTF Class room) F (NWTF Class room)  17:00-18:30,,,W,F,,17:00 PM,18:30 PM,,,,,,,,,,
31,AUTOMATIC CONTROL OF AIRCRAFT ROCKETS AND SPACECRAFT(AE649),3-0-0-0(4),Dipak  Giri(I),MTh 14:00-15:15,,,M,Th,,14:00 PM,15:15 PM,,,,,,,,,,
32,AUTOMATIC CONTROL OF AIRCRAFT ROCKETS AND SPACECRAFT(AE649A),3-0-0-0(9),Dipak  Giri(I),M (Helicopter building) Th (Helicopter building)  14:00-15:15,,,M,Th,,14:00 PM,15:15 PM,,,,,,,,,,
33,AEROMECHANICS OF UNMANNED AERIAL SYSTEMS(AE656),3-0-0-0(9),ABHISHEK   (I),TTh 15:35-16:50,,,T,Th,,15:35 PM,16:50 PM,,,,,,,,,,
34,AEROMECHANICS OF UNMANNED AERIAL SYSTEMS(AE656A),3-0-0-0(9),ABHISHEK   (I),T (Helicopter building) Th (Helicopter building)  15:35-16:50,,,T,Th,,15:35 PM,16:50 PM,,,,,,,,,,
35,FUNDAMENTALS OF COMBUSTION(AE663),3-0-0-0(9),D Chaitanya Rao(I),WF 10:35-11:50,,,W,F,,10:35 AM,11:50 AM,,,,,,,,,,
36,FUNDAMENTALS OF COMBUSTION(AE663A),3-0-0-0(9),D Chaitanya Rao(I),W (NWTF Class room) F (NWTF Class room)  10:35-11:50,,,W,F,,10:35 AM,11:50 AM,,,,,,,,,,
37,APPLIED COMPRESSIBLE FLOWS(AE664),3-0-0-0(9),Ajay  Singh(I),WF 09:00-10:15,,,W,F,,9:00 AM,10:15 AM,,,,,,,,,,
